id,name,chapter,subsection,tags,suji,xingwei,guijing,gongxiao,zhuzhi,yongfa,jinji,yaoli,jianjie,file
1,冬葵子,利水渗湿药,利尿通淋药,,利尿通淋、下乳为要,甘，寒,大肠、小肠、膀胱经,利尿通淋；下乳；润肠,淋证，水肿；乳汁不通，乳房胀痛；肠燥便秘,煎服，3～9g,孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/冬葵子.md
2,地肤子,利水渗湿药,利尿通淋药,,清热利湿、祛风止痒为要,辛、苦，寒,肾、膀胱经,清热利湿；祛风止痒,热淋涩痛；风疹湿疹，皮肤瘙痒，阴痒,煎服，9～15g；外用适量,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/地肤子.md
3,木通,利水渗湿药,利尿通淋药,,利尿通淋、清心火为要,苦，寒,心、小肠、膀胱经,利尿通淋；清心火；通经下乳,淋证，水肿；口舌生疮，心烦尿赤；经闭乳少，湿热痹痛,煎服，3～6g,孕妇慎用；肾功能不全者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/木通.md
4,海金沙,利水渗湿药,利尿通淋药,,清利湿热、通淋止痛为要,甘、咸，寒,膀胱、小肠经,清利湿热；通淋止痛,热淋，石淋，血淋，膏淋，尿道涩痛,煎服，6～15g，包煎,肾阴亏虚者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/海金沙.md
5,滑石,利水渗湿药,利尿通淋药,,利尿通淋、清热解暑为要,甘、淡，寒,膀胱、肺、胃经,利尿通淋；清热解暑；祛湿敛疮,热淋，石淋，尿热涩痛；暑湿烦渴，湿温初起；湿疹湿疮，痱子,煎服，10～20g，包煎；外用适量,脾虚、热病伤津及孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/滑石.md
6,灯心草,利水渗湿药,利尿通淋药,,利尿通淋、清心降火为要,甘、淡，微寒,心、肺、小肠经,利尿通淋；清心降火,热淋涩痛；心烦失眠，口舌生疮,煎服，1～3g,下焦虚寒、小便不禁者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/灯心草.md
7,瞿麦,利水渗湿药,利尿通淋药,,利尿通淋、破血通经为要,苦，寒,心、小肠经,利尿通淋；破血通经,热淋，血淋，石淋，小便不通；经闭，月经不调,煎服，9～15g,孕妇忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/瞿麦.md
8,石韦,利水渗湿药,利尿通淋药,,利尿通淋、清肺止咳为要,苦、甘，微寒,肺、膀胱经,利尿通淋；清肺止咳；凉血止血,热淋，血淋，石淋；肺热咳嗽；血热崩漏,煎服，6～12g,阴虚及无湿热者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/石韦.md
9,萆薢,利水渗湿药,利尿通淋药,,利湿去浊、祛风除痹为要,苦，平,肾、胃经,利湿去浊；祛风除痹,膏淋，白浊，白带过多；风湿痹痛，关节不利,煎服，9～15g,肾阴亏虚者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/萆薢.md
10,萹蓄,利水渗湿药,利尿通淋药,,利尿通淋、杀虫为要,苦，微寒,膀胱经,利尿通淋；杀虫；止痒,热淋涩痛；虫积腹痛；湿疹阴痒,煎服，9～15g,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,利水渗湿药/利尿通淋药/萹蓄.md
